Почти все возможности взаимодействия с игрой в MoonLoader реализованы посредством эмуляции опкодов, которые используются в игре для программирования миссий. Многие опкоды не вошли в релиз MoonLoader с самой первой версии, часть вошедших опкодов позже была заменена встроенными реализациями в обновлениях.
Следующая таблица содержит все опкоды игры, где каждому опкоду соответствует его аналог в Lua и комментарий о различиях или причинах отсутствия.
Отсутствие пояснения к опкоду в третьей колонке означает, что Lua функция напрямую эмулирует опкод игры без каких-либо изменений в поведении.

Опкод	Lua	Пояснение
0000		[1]
0001	wait(int time)	[2]
0003	shakeCam(int shake)	
0052		[1:1]
0053	Player player = createPlayer(Model modelId, float atX, float atY, float atZ)	
0092		[3]
0093		[3:1]
0094	math.abs	[2:1]
0095	math.abs	[2:2]
0096	math.abs	[2:3]
0097	math.abs	[2:4]
0098	math.random	[2:5]
0099	math.random	[2:6]
009A	Ped ped = createChar(int pedtype, Model modelId, float atX, float atY, float atZ)	
009B	deleteChar(Ped ped)	
00A0	float positionX, float positionY, float positionZ = getCharCoordinates(Ped ped)	
00A1	setCharCoordinates(Ped ped, float posX, float posY, float posZ)	
00A3	bool result = isCharInArea2d(Ped ped, float cornerAX, float cornerAY, float cornerBX, float cornerBY, bool sphere)	
00A4	bool result = isCharInArea3d(Ped ped, float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ, bool sphere)	
00A5	Vehicle car = createCar(Model modelId, float atX, float atY, float atZ)	
00A6	deleteCar(Vehicle car)	
00A7	carGotoCoordinates(Vehicle car, float driveToX, float driveToY, float driveToZ)	
00A8	carWanderRandomly(Vehicle car)	
00A9	carSetIdle(Vehicle car)	
00AA	float positionX, float positionY, float positionZ = getCarCoordinates(Vehicle car)	
00AB	setCarCoordinates(Vehicle car, float atX, float atY, float atZ)	
00AD	setCarCruiseSpeed(Vehicle car, float maxSpeed)	
00AE	setCarDrivingStyle(Vehicle car, int behaviour)	
00AF	setCarMission(Vehicle car, int driverBehaviour)	
00B0	bool result = isCarInArea2d(Vehicle car, float cornerAX, float cornerAY, float cornerBX, float cornerBY, bool sphere)	
00B1	bool result = isCarInArea3d(Vehicle car, float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ, bool sphere)	
00BA	printBig(GxtString gxtString, int time, int style)	
00BB	printText(GxtString gxtString, int time, int flag)	
00BC	printTextNow(GxtString gxtString, int time, int flag)	
00BE	clearPrints()	
00BF	int hours, int mins = getTimeOfDay()	
00C0	setTimeOfDay(int hours, int minutes)	
00C1	int minutes = getMinutesToTimeOfDay(int hours, int minutes)	
00C2	bool result = isPointOnScreen(float sphereX, float sphereY, float sphereZ, float radius)	
00D6		[3:2]
00D7		[3:3]
00D8		[1:2]
00D9	Vehicle car = storeCarCharIsIn(Ped ped)	
00DB	bool result = isCharInCar(Ped ped, Vehicle car)	
00DD	bool result = isCharInModel(Ped ped, Model carModel)	
00DF	bool result = isCharInAnyCar(Ped ped)	
00E1	bool result = isButtonPressed(Player player, int key)	
00E2	int state = getPadState(Player player, int key)	
00EC	bool result = locateCharAnyMeans2d(Ped ped, float pointX, float pointY, float radiusX, float radiusY, bool sphere)	
00ED	bool result = locateCharOnFoot2d(Ped ped, float pointX, float pointY, float radiusX, float radiusY, bool sphere)	
00EE	bool result = locateCharInCar2d(Ped ped, float pointX, float pointY, float radiusX, float radiusY, bool sphere)	
00EF	bool result = locateStoppedCharAnyMeans2d(Ped ped, float pointX, float pointY, float radiusX, float radiusY, bool sphere)	
00F0	bool result = locateStoppedCharOnFoot2d(Ped ped, float pointX, float pointY, float radiusX, float radiusY, bool sphere)	
00F1	bool result = locateStoppedCharInCar2d(Ped ped, float pointX, float pointY, float radiusX, float radiusY, bool sphere)	
00F2	bool result = locateCharAnyMeansChar2d(Ped ped, Ped nearPed, float radiusX, float radiusY, bool sphere)	
00F3	locateCharOnFootChar2d(Ped ped, Ped nearPed, float radiusX, float radiusY, bool sphere)	
00F4	bool result = locateCharInCarChar2d(Ped ped, Ped nearPed, float radiusX, float radiusY, bool sphere)	
00FE	bool result = locateCharAnyMeans3d(Ped ped, float sphereX, float sphereY, float sphereZ, float radiusX, float radiusY, float radiusZ, bool sphere)	
00FF	bool result = locateCharOnFoot3d(Ped ped, float sphereX, float sphereY, float sphereZ, float radiusX, float radiusY, float radiusZ, bool sphere)	
0100	bool result = locateCharInCar3d(Ped ped, float sphereX, float sphereY, float sphereZ, float radiusX, float radiusY, float radiusZ, bool sphere)	
0101	bool result = locateStoppedCharAnyMeans3d(Ped ped, float sphereX, float sphereY, float sphereZ, float radiusX, float radiusY, float radiusZ, bool sphere)	
0102	bool result = locateStoppedCharOnFoot3d(Ped ped, float sphereX, float sphereY, float sphereZ, float radiusX, float radiusY, float radiusZ, bool sphere)	
0103	bool result = locateStoppedCharInCar3d(Ped ped, float sphereX, float sphereY, float sphereZ, float radiusX, float radiusY, float radiusZ, bool sphere)	
